Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
105619,0,Maguiresbridge Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,18790,16289,0,0,0,"The Manse, 5 Tattygare Road, Enniskillen, BT94 5GT",,,02866385711,0,The advancement of religion,General public,Religious activities,
105620,0,Aughentaine Congregation Of The Presbyterian Church In Ireland,22/08/2016,Up-to-date,31 December 2018,47726,51507,0,0,0,"Aughentaine Presbyterian Church, C/O 140 Screeby Road, Fivemiletown, County Tyrone, BT75 0TP",,,028 89522336,0,The advancement of religion,General public,Religious activities,
105621,0,Douglas Congregation Of The Presbyterian Church In Ireland,09/08/2016,Due documents received late,31 December 2018,23654,27456,0,0,0,"15 Urblereagh Road, Newtownstewart, Omagh, County Tyrone, BT78 4LR",,,02881662124,0,The advancement of religion,General public,Religious activities,
105622,0,Clogherney Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2019,159336,102950,0,0,0,"2 Georgian Villas, Omagh, County Tyrone, BT79 0AT",www.clogherneypc.co.uk,rmcelnea@presbyterianireland.org,028 8224 5468,0,The advancement of religion,General public,Religious activities,
105623,0,Maghera Congregation Of The Presbyterian Church In Ireland,20/09/2016,Up-to-date,31 December 2018,123355,123909,0,0,0,"32 Tamney Martin Road, Maghera, County Londonderry, BT46 5ET",,magherapci@yahoo.co.uk,208 7954 9970,0,The advancement of religion,General public,Religious activities,
105624,0,Eglish Presbyterian Church Congregation Of The Presbyterian Church In Ireland,11/08/2016,In default,31 December 2020,0,0,0,0,0,"11 Drumreany Road, Dungannon, County Tyrone, BT70 3NY",,,028 8776 9384,0,The advancement of religion,General public,Religious activities,
105625,0,Lisbellaw Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,47315,43978,0,0,0,"18 Rathview Park, Mullybritt, Lisbellaw, Enniskillen, County Fermanagh, BT94 5EW",,,02866385926,0,The advancement of religion,General public,Religious activities,
105626,0,Sandholes Congregation Of The Presbyterian Church In Ireland,10/08/2016,Due documents received late,31 December 2018,123239,148999,0,0,0,"11 Main Street, Pomeroy, Dungannon, BT70 2QH",,,02887759671,0,The advancement of religion,General public,Religious activities,
105627,0,Donemana Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,152684,110538,0,0,0,"257 Duncastle Road, Donemana, Strabane, County Tyrone, BT82 0LR",www.donemanapc.com,donemanapc@gmail.com,028 7139 8651,0,The advancement of religion,General public,Religious activities,
105628,0,Mountjoy Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,227953,154431,0,0,0,"12 Gortnagarn Road, Omagh, County Tyrone, BT78 5NW",mountjoypresbyterian.com,jonathancowanrev@gmail.com,028 8224 4250,0,The advancement of religion,General public,Religious activities,
105629,0,Gortin Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,26870,22774,0,0,0,"Gortin Presbyterian Church, C/O The Manse, 82 Dublin Street, Newtownstewart, Omagh, Co Tyrone, BT78 4HZ",,gortinpresbyterianchurch@gmail.com,07568152631,0,The advancement of religion,General public,Religious activities,
105630,0,Castlecaulfield Congregation Of The Presbyterian Church In Ireland,15/08/2016,Due documents received late,31 December 2018,99328,161387,0,0,0,"10 Laurel View, Dungannon, County Tyrone, BT71 6UA",,,02887724624,0,The advancement of religion,General public,Religious activities,
105631,0,Faughanvale Congregation Of The Prebyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2019,129378,125300,0,0,0,"27 Carmoney Road, Eglinton, Londonderry, Bt47 3Ef, BT47 3EF",faughanvalepresbyterian.org,lblair@presbyterianireland.org,07808736826,0,The advancement of religion,General public,Religious activities,
105632,0,Fintona Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,88979,231213,0,0,0,"182 Loughmuck Road, Omagh, BT78 2NF",,,02882840999,0,The advancement of religion,General public,Religious activities,
105633,0,Brigh Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,48194,49557,0,0,0,"57 Killymoon Road, Cookstown, County Tyrone, BT80 8TW",,,028 8676 2815,0,The advancement of religion,General public,Religious activities,
105634,0,Carlisle Road Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2019,95325,73221,0,0,0,"14 Broomhill Court, Londonderry, BT47 6WP",crpci.org.uk,s.ramsey@btinternet.com,02871344365,0,The advancement of religion,General public,Religious activities,
105635,0,1St Moneymore Congregation Of The  Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,112056,111345,0,0,0,"20 Drumrot Road, Moneymore, Magherafelt, County Londonderry, BT45 7QH",,,02886748539,0,The advancement of religion,General public,Religious activities,
105636,0,Upper Cumber Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,78786,68700,0,0,0,"Cregg Road, Claudy, Londonderry, BT47 4HX",,,02871338256,0,The advancement of religion,General public,Religious activities,
105637,0,2Nd Moneymore Congregation Of The Presbyterian Church In Ireland,16/08/2016,Up-to-date,31 December 2018,55214,53191,0,0,0,"5 Mountview Way, Moneymore, Magherafelt, County Londonderry, BT45 7GW",,,028 8674 7996,0,The advancement of religion,General public,Religious activities,
105638,0,Cumber Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,92165,100332,0,0,0,"43 Gorse Road, Claudy, Londonderry, BT47 4HY",,,028 7133 8341,0,The advancement of religion,General public,Religious activities,
105639,0,Corrick Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,37166,18983,0,0,0,"31A Strahulter Road, Newtownstewart, Omagh, County Tyrone, BT78 4ED",,,02881661518,0,The advancement of religion,General public,Religious activities,
105641,0,First Derry Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,190387,155564,0,0,0,"Church Office, First Derry Presbyterian Church, Magazine Street Upper, Londonderry, BT48 6PH",www.firstderrypresbyterianchurch.com,bluecoatvisitor@btinternet.com,028 7181 1499,0,The advancement of religion,General public,Religious activities,
105642,0,Swatragh Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,19413,14212,0,0,0,"70 Lismoyle Road, Swatragh, Maghera, County Londonderry, BT46 5QU",,,028 79401380,0,The advancement of religion,General public,Religious activities,
105643,0,Tobermore Congregation Of The Presbyterian Church In Ireland,09/08/2016,Up-to-date,31 December 2018,47056,42356,0,0,0,"46 King Street, Magherafelt, County Londonderry, BT45 6AU",,,02879632374,0,The advancement of religion,General public,Religious activities,
105644,0,Ebrington Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2019,177294,170477,0,0,0,"2 Bridgewater, Londonderry, BT47 6YA",ebringtonchurch.co.uk,contact@ebringtonchurch.co.uk,02871 341893,0,The advancement of religion,General public,Religious activities,
105645,0,Drumlegagh Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,91890,45341,0,0,0,"L W Surphlis & Son, 31 Drumlegagh Church Road, Newtownstewart, Omagh, County Tyrone, BT78 4HF",,jonathancowanrev@gmail.com,02881662110,0,The advancement of religion,General public,Religious activities,
105646,0,Sion Mills Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,363614,51527,0,0,0,"26 Albert Place, Sion Mills, Strabane, County Tyrone, BT82 9HN",,,02881658968,0,The advancement of religion,General public,Religious activities,
105647,0,Seven Towers Community Association,01/08/2016,Up-to-date,30 April 2019,16753,9138,0,0,0,"70 Drumtara, Ballymena, County Antrim, BT42 3DQ",,thomasbalmer@hotmail.com,07731568032,0,The advancement of citizenship or community development,"Adult training,Children (5-13 year olds),Men,Mental health,Tenants,Unemployed/low income,Women",Community development,
105648,0,Enniskillen Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,230676,162132,0,0,0,"Enniskillen Presbyterian Church, 16 East Bridge Street, Enniskillen, County Fermanagh, BT74 7BT",eknpres.org,church.office1@btinternet.com,028 66324896,0,The advancement of religion,General public,Religious activities,
105650,0,Ballynahatty & Creevan Congregation Of The Presbyterian Church In Ireland,23/09/2016,Up-to-date,31 December 2018,39097,45638,0,0,0,"4 Derrybard Road, Fintona, Omagh, BT78 2JH",,,02882841209,0,The advancement of religion,General public,Religious activities,
105651,0,First Cookstown Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,191122,244726,0,0,0,"First Presbyterian Church, 71-73 James Street, Cookstown, County Tyrone, BT80 8AE",www.firstcookstown.co.uk,ithompson@presbyterianireland.org,02886765845,0,The advancement of religion,General public,Religious activities,
105652,0,Tempo Presbyterian Church,18/08/2016,Up-to-date,31 December 2018,18848,13526,0,0,0,"5 Tullyreagh Road, Edenmore, Tempo, Enniskillen, BT94 3GJ",,,028895068,0,The advancement of religion,General public,Religious activities,
105653,0,Gospel Bus Ministry,26/04/2017,Up-to-date,01 January 2019,87823,80179,0,0,0,"140, Lettercreeve, Ballymena, BT42 2EU",www.gospelbus.co.uk,gospelbus@hotmail.co.uk,07753240113,0,"The prevention or relief of poverty,The advancement of religion","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),Homelessness,Specific areas of deprivation,Travellers,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Cross-border/cross-community,Relief of poverty,Religious activities,Sport/recreation,Volunteer development,Youth development",
105654,0,Knockloughrim Congregation Of The Presbyterian Church In Ireland,12/08/2016,Up-to-date,31 December 2019,42299,39476,0,0,0,"10 Meadowell Fold, Westland Gardens, Magherafelt, BT45 5DP",,,02879634911,0,The advancement of religion,General public,Religious activities,
105655,0,First Omagh Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,170360,169987,0,0,0,"18 Knockgreenan Park, Omagh, County Tyrone, BT79 0DD",www.firstomagh.com,,028 8224 4771,0,The advancement of religion,General public,Religious activities,
105656,0,Donagh Development Association,25/10/2016,Due documents received late,31 December 2018,7732,6121,0,0,0,"6, Adrian Heights, Donagh, Lisnaskea, Co Fermanagh, Bt92 5Bg, BT92 5BG",,pauly74_2005@hotmail.com,02867721897,0,The advancement of citizenship or community development,General public,Community development,
105657,0,Glenelly Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,25428,24499,0,0,0,"28 Glenelly Road, Plumbridge, Omagh, County Tyrone, BT79 8BG",,,028 8164 8689,0,The advancement of religion,General public,Religious activities,
105658,0,Ballygawley Congregation Of The Presbyterian Church In Ireland,26/09/2016,Up-to-date,31 December 2018,128831,101335,0,0,0,"2 Alexander Drive, Aughnacloy, County Tyrone, BT69 6DP",,,07890109817,0,The advancement of religion,General public,Religious activities,
105659,0,First Castlederg Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,147096,151944,0,0,0,"8 Lurganboy Road, Castlederg, County Tyrone, BT81 7HS",,,028 8167 1014,0,The advancement of religion,General public,Religious activities,
105660,0,Killeter Congregation Of The Presbyterian Church In Ireland,09/08/2016,Up-to-date,31 December 2018,91118,402590,0,0,0,"15 Lisnacloon Road, Mournebeg, Castlederg, County Tyrone, BT81 7UF",,,02881670349,0,The advancement of religion,General public,Religious activities,
105661,0,Glendermott Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,200057,108269,0,0,0,"36 Church Road, Altnagelvin, Londonderry, BT47 3QQ",www.glendermottpc.org,,07709 225559,0,The advancement of religion,General public,Religious activities,
105662,0,Pomeroy Presbyterian Church Congregation Of The Presbyterian Church In Ireland,12/08/2016,Up-to-date,31 December 2018,91828,82406,0,0,0,"230 Drum Road, Cookstown, County Tyrone, BT80 9HP",,,02886751637,0,The advancement of religion,General public,Religious activities,
105663,0,Newmills Congregation Of The Presbyterian Church In Ireland,12/08/2016,Up-to-date,31 December 2018,91240,122230,0,0,0,"69 Farlough Road, Dungannon, County Tyrone, BT71 4DU",http://www.carlandnewmillspci.com,jlsimpson50@gmail.com,02887748643,0,The advancement of religion,General public,Religious activities,
105664,0,Great Oaks Church N.I.,31/08/2016,Up-to-date,31 December 2018,24898,18809,0,0,0,"82 Rainey Street, Magherafelt, BT45 5AH",,lgmcswiggan@gmail.com,07740628626,0,The advancement of religion,"Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),Ethnic minorities,General public,Homelessness,Men,Older people,Parents,Preschool (0-5 year olds),Travellers,Unemployed/low income,Women,Youth (14-25 year olds)","Counselling/support,General charitable purposes,Overseas aid/famine relief,Relief of poverty,Religious activities",
105665,0,First Keady Presbyterian Church,29/09/2016,Up-to-date,31 December 2018,80580,90281,0,0,0,"4 Drumhirk Road, Armagh, BT60 3JW",,,07761930854,0,The advancement of religion,"Carers,Children (5-13 year olds),Interface communities,Men,Older people,Women",Religious activities,
105666,0,Mid Ulster Community Services Ltd,15/08/2016,Up-to-date,31 March 2019,373563,338109,0,0,0,"Unit 15, Station Road Industrial Estate, Station Road, Magherafelt, BT45 5EY",,akeane@outandaboutct.org,02879300123,36635,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Interface communities,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Specific areas of deprivation,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community transport,Volunteer development",
105667,0,Strabane Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,94201,88989,0,0,0,"44 Orchard Rd;, Tullygarvan, Strabane, County Tyrone, BT8 9QS",,,028 71382389,0,The advancement of religion,General public,Religious activities,
105668,0,Castledawson Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,160286,152341,0,0,0,"59 Main Street, Castledawson, Magherafelt, County Londonderry, BT45 8AA",,castledawsonpresbyterian@gmail.com,028 7946 8253,0,The advancement of religion,General public,Religious activities,
105669,0,Curran Congregation Of The Presbyterian Church In Ireland,09/08/2016,Up-to-date,31 December 2018,44963,49852,0,0,0,"Curran Presbyterian Church, Lurganagoose Road, Knockloughrim, Magherafelt, County Londonderry, BT45 8QY",,curranpresbyterian@gmail.com,02879468030,0,The advancement of religion,General public,Religious activities,
105670,0,Bellaghy Congregation Of The Presbyterian Church In Ireland,15/08/2016,Up-to-date,31 December 2018,65862,62356,0,0,0,"12 Railway Terrace, Castledawson, Magherafelt, County Londonderry, BT45 8AY",,bellaghypresbyterian@gmail.com,02879468791,0,The advancement of religion,General public,Religious activities,
105671,0,Dungannon Congregation Of The Presbyterian Church In Ireland,11/08/2016,Due documents received late,31 December 2018,266279,293177,0,0,0,"Dungannon Presbyterian Church, 53A Scotch Street, Dungannon, County Tyrone, BT70 1BD",,,02887725125,0,The advancement of religion,General public,Religious activities,
105672,0,Albany Congregation Of The Presbyterian Church In Ireland,12/08/2016,Up-to-date,31 December 2018,26300,19571,0,0,0,"49 Coagh Road, Stewartstown, Dungannon, BT71 5JH",,,02887738232,0,The advancement of religion,General public,Religious activities,
105673,0,Gortnessy Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,42991,57327,0,0,0,"32 Temple Road, Strathfoyle, Londonderry, BT47 6UB",,,02871860294,0,The advancement of religion,General public,Religious activities,
105674,0,Molesworth Congregation Of The Presbyterian Church In Ireland,10/08/2016,Up-to-date,31 December 2018,396509,1014344,0,0,0,"38 Lomond Heights, Cookstown, County Tyrone, BT80 8XW",www.molesworthchurch.com,molesworthchurch@gmail.com,028 8676 5094,0,The advancement of religion,General public,Religious activities,
105675,0,Legacurry Pre-School,17/08/2016,Due documents received late,31 August 2018,56258,55011,0,0,0,"32 Ruskin Park, Lisburn, County Antrim, BT27 5QN",legacurryplaygroup.co.uk,legacurrypreschool@gmail.co.uk,02892602719,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
105676,0,First Dromara Congregation Of The Presbyterian Church In Ireland,16/08/2016,Up-to-date,31 December 2018,137130,147103,0,0,0,"10 Mullaghdrin Road, Dromara, Dromore, County Down, BT25 2AF",firstdromara.org,info@firstdromara.org,028 9753 2221,0,The advancement of religion,General public,Religious activities,
105677,0,Ballyreagh Congregation Of The Presbyterian Church In Ireland,09/08/2016,Up-to-date,31 December 2019,44337,36273,0,0,0,"120 Mullaghmore Road, Dungannon, County Tyrone, BT70 1RD",,,028 87761103,0,The advancement of religion,General public,Religious activities,
105678,0,Derramore Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,89248,134419,0,0,0,"54 Bolea Road, Limavady, County Londonderry, BT49 0QT",,,028 70355808,0,The advancement of religion,General public,Religious activities,
105679,0,Pettigo Congregation Of The Presbyterian Church In Ireland,12/08/2016,Up-to-date,31 December 2019,33937,33143,0,0,0,"80 Barragh Road, Ballinamallard, Co Fermanagh, BT94 2BU",,noelbaxter60@yahoo.co.uk,02866388443,0,The advancement of religion,General public,Religious activities,
105680,0,Omagh And District Masonic Charity Committee,23/09/2016,Up-to-date,31 December 2018,27257,23526,0,0,0,"18 Elm Wood Green, Castlederg, County Tyrone, BT81 7GY",,apattersonqs@gmail.com,07771808407,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Men,Older people,Unemployed/low income,Women,Youth (14-25 year olds)","Advice/advocacy/information,Medical/health/sickness,Relief of poverty",
105681,0,Castlederg / Drumclamph / Derry / Church Of Ireland,30/09/2016,Up-to-date,31 December 2019,46285,41619,0,0,0,"18 Elmwood Green, Erganagh, Castlederg, County Tyrone, BT81 7GY",http://www.ireland.anglican.org/information/dioceses/parish/11290,rkeogh10@hotmail.co.uk,07771808407,0,The advancement of religion,General public,Religious activities,
105682,0,Ballygoney Congregation Of The Presbyterian Church In Ireland,01/09/2016,Up-to-date,31 December 2018,26608,18203,0,0,0,"119A Coolreaghs Road, Cookstown, BT80 8QN",,,07801475587,0,The advancement of religion,General public,Religious activities,
105683,0,Saltersland Congregation Of The Presbyterian Church In Ireland,11/08/2016,Up-to-date,31 December 2018,66739,54586,0,0,0,"1 Ashbourne, Castledawson, Magherafelt, County Londonderry, BT45 8HP",,,02879468708,0,The advancement of religion,General public,Religious activities,
105684,0,Armaghbreague Congregation Of The Presbyterian Church In Ireland,06/10/2016,Up-to-date,31 December 2018,37730,35656,0,0,0,"6 Aughnagurgan Road, Darkley, Armagh, BT60 3BY",,,028 3087 8251,0,The advancement of religion,General public,Religious activities,
105685,0,Coagh Congregation Of The Presbyterian Church In Ireland,02/09/2016,Up-to-date,31 December 2018,71403,56397,0,0,0,"17 Coagh Road, Cookstown, County Tyrone, BT80 8RL",,,02886763833,0,The advancement of religion,General public,Religious activities,
105686,0,156Th Belfast Rainbows,17/08/2016,Up-to-date,30 June 2019,265,330,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105687,0,Dromore In Action,01/09/2016,Up-to-date,31 March 2019,0,0,0,0,0,"57 Maypole Park, Dromore, BT25 1SH",,,028 9269 2997,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",General public,"Community development,Education/training,Grant making,Rural development",
105688,0,Tyndale Reformed Church,22/09/2016,Up-to-date,05 April 2020,594,941,0,0,0,"177 Tates Avenue, Belfast, BT12 6NA",,,07974315293,0,The advancement of citizenship or community development,"Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,General public,Parents,Youth (14-25 year olds)",Religious activities,
105689,0,Urban Grace Ministries,19/08/2016,Up-to-date,30 June 2019,38265,37291,0,0,0,"30-34A York Road, Belfast, BT15 3HE",urbangraceministries.co.uk,info@urbangraceministries.com,07958739144,639084,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Counselling/support,Education/training,Relief of poverty,Religious activities,Volunteer development,Welfare/benevolent,Youth development",
105690,0,The Rural Centre,07/04/2017,Up-to-date,31 March 2019,157247,123275,0,0,0,"The Old Primary School, 4 Augher Road, Clogher, Co Tyrone, BT76 0AD",http://www.eurolink-eu.net,info@eurolink-eu.net,02885549606,0,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Children (5-13 year olds),General public,Men,Voluntary and community sector,Women,Youth (14-25 year olds)","Advice/advocacy/information,Cross-border/cross-community,Cultural,Education/training",
105691,0,Royal Naval Association East Antrim Branch,18/08/2017,Up-to-date,31 December 2019,281,472,0,0,0,"C/O The Royal British Legion, 458 Shore Road, Newtownabbey, BT37 0AA",,,07702562672,0,"The prevention or relief of poverty,Other charitable purposes","Men,Older people,Parents,Victim support,Volunteers,Women,Youth (14-25 year olds)","Counselling/support,Cultural,General charitable purposes,Grant making,Welfare/benevolent",
105692,0,Naíscoil Éanna,25/08/2016,Up-to-date,05 April 2019,472,298,0,0,0,"15 Dillons Avenue, Whiteabbey, Newtownabbey, BT37 0SU",http://www.gse.ie/,eolas@croieanna.com,02890964183,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
105693,0,Our Lady Of Bethlehem Abbey Trust,23/10/2017,Recently registered,31 July 2020,0,0,0,0,0,"Our Lady Of Bethlehem Abbey, 11 Ballymena Road, Ballymena, BT44 8BL",http://www.bethlehemabbey.com,info@bethabbey.com,02825821211,0,The advancement of religion,General public,Religious activities,
105694,0,Foyle Down Syndrome Trust Limited,16/08/2016,Up-to-date,28 February 2019,384227,369719,0,0,0,"Shared Future Centre, 61 Irish Street, Londonderry, BT47 2DB",www.foyledownsyndrometrust.org,info@fdst.org.uk,02871 343991,39134,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Children (5-13 year olds),Learning disabilities,Preschool (0-5 year olds),Sensory disabilities,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Disability,Education/training,Human rights/equality",
105695,0,Glenariff Improvement Group,19/09/2016,Up-to-date,30 November 2019,23812,11398,0,0,0,"40 Main Street, Glenariff, Ballymena, County Antrim, BT44 0QS",glenariffimprovementgroup.org,theresa.mcgaughey@gmail.com,028 2177 2776,610101,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","General public,Older people,Voluntary and community sector,Volunteers","Community development,Community enterprise,Cultural,Environment/sustainable development/conservation,Heritage/historical,Rural development,Volunteer development",
105696,0,Derriaghy Village Community Association,24/08/2016,Up-to-date,31 March 2019,4342,5361,0,0,0,"93 Milltown Avenue, Derriaghy, Lisburn, County Antrim, Northern Ireland, BT28 3TR",,dvca@live.co.uk,07545665142,0,The advancement of citizenship or community development,"Children (5-13 year olds),Community safety/crime prevention,Men,Older people,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Tenants,Unemployed/low income,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Relief of poverty,Rural development,Volunteer development,Youth development",
105697,0,Ballee & Harryville Community Enterprises,31/10/2016,Up-to-date,31 March 2019,189230,281295,0,0,0,"Ballee & Harryville Community Enter, Ballee Community Childcare Centre, 20 Antrim Road, Ballymena, BT42 2BJ",,,02825631350,63172,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","General public,Specific areas of deprivation,Voluntary and community sector","Community development,Community enterprise,Economic development,General charitable purposes,Urban development,Volunteer development",
105698,0,Bright Eyes Animal Sanctuary,22/12/2016,Up-to-date,31 December 2018,131409,86099,0,0,0,"Bright Eyes Animal Sanctuary, 53 Killymittan Road, Killymittan, Ballinamallard, Enniskillen, BT94 2FW",http://www.brighteyesanimalsanctuary.org.uk/,brighteyes.sanctuary@btinternet.com,028 6862 8317,0,"The advancement of education,The advancement of animal welfare","General public,Volunteers","Animal welfare,Education/training,Volunteer development",
105699,0,Gillygooley 2Nd Youth,19/09/2016,Up-to-date,30 April 2019,3816,3985,0,0,0,"133 Castletown Road, Omagh, BT78 5NY",,,02882242722,0,"The prevention or relief of poverty,The advancement of education,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,Other charitable purposes","Adult training,Community safety/crime prevention,Men,Older people,Volunteers,Women","Community development,Cross-border/cross-community,Education/training,Grant making,Medical/health/sickness,Relief of poverty,Rural development,Volunteer development",
105700,0,The Junction Club,04/01/2019,Recently registered,31 December 2020,0,0,0,0,0,"Junction Club, 2-4 Bloomfield Avenue, Belfast, BT5 5AD",n/a,junctionclub@yahoo.com,028 9073 2164,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Learning disabilities","Advice/advocacy/information,Disability,Education/training,Human rights/equality",
105701,0,The Friends Of St.Columb's Cathedral,12/09/2016,Up-to-date,31 March 2019,19525,18100,0,0,0,"50 Woodburn Park, Londonderry, BT47 5PS",,stcolumbs@ic24.net,028 71345032,0,"The advancement of the arts, culture, heritage or science","General public,Interface communities,Voluntary and community sector,Volunteers","Cross-border/cross-community,Cultural,Heritage/historical",
105702,0,Southlink Fellowship,28/09/2016,Due documents received late,31 March 2019,0,240,0,0,0,"12 Tullymore Gardens, Belfast, BT11 8ND",,,02890617526,30357,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,General charitable purposes,
105703,0,Coiste Ghaeloideachas Chromghlinne,21/09/2016,Due documents received late,31 August 2018,89639,88073,0,0,0,"114 Laurelvale, Crumlin, BT29 4WW",,info@itgd.ie,07518704003,607934,"The advancement of education,The advancement of religion,The advancement of the arts, culture, heritage or science,Other charitable purposes","Adult training,Asylum seekers/refugees,Carers,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,General public,Language community,Men,Older people,Parents,Preschool (0-5 year olds),Sexual orientation,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Arts,Community development,Community enterprise,Cross-border/cross-community,Cultural,Economic development,Education/training,Environment/sustainable development/conservation,Gender,General charitable purposes,Grant making,Heritage/historical,Human rights/equality,Overseas aid/famine relief,Playgroup/after schools,Rural development,Sport/recreation,Volunteer development,Youth development",
105704,0,La Dolce Vita Project,19/09/2016,Up-to-date,31 March 2019,38622,45090,0,0,0,"13 Queen Street, Derry, BT48 7EQ",www.la-dolce-vita-project.com,ladolcevita5277@gmail.com,028 7137 7272,0,The advancement of health or the saving of lives,"Community safety/crime prevention,General public,Men,Mental health,Older people,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women","Advice/advocacy/information,Counselling/support,Criminal justice,Education/training,General charitable purposes,Volunteer development",
